state_code,state_slug,state_name,climate_profile,adjustment_factor,modeled_adjustment_percent,local_pressure,editorial_note,state_guide_url,warrantyindex_url
AL,alabama,Alabama,Hot and humid,0.94,-6,Humidity and long cooling seasons,Moist air raises corrosion pressure and keeps refrigerators working hard.,https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/alabama,https://warrantyindex.com/alabama/
AK,alaska,Alaska,Cold,1.03,3,Cold cycles and remote service,"Cool rooms help refrigeration, while remote parts access can end otherwise repairable machines.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/alaska,https://warrantyindex.com/alaska/
AZ,arizona,Arizona,Hot and dry,0.95,-5,Extreme heat and hard water,"Cooling loads rise sharply in hot rooms, and mineral scale can punish water-using appliances.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/arizona,https://warrantyindex.com/arizona/
AR,arkansas,Arkansas,Warm and humid,0.96,-4,Humidity and summer heat,"Warm, damp conditions add work for cooling systems and encourage corrosion.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/arkansas,https://warrantyindex.com/arkansas/
CA,california,California,Mixed and dry,1,0,Hard water in many regions,"Coastal and inland conditions differ greatly, but scale is a common concern in many service areas.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/california,https://warrantyindex.com/california/
CO,colorado,Colorado,Dry with cold winters,1.02,2,Mineral water and temperature swings,"Dry air is gentle on cabinets, while hard water remains a recurring dishwasher and washer issue.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/colorado,https://warrantyindex.com/colorado/
CT,connecticut,Connecticut,Four seasons,1.01,1,Cold winters and humid summers,"Moderate annual stress, with installation quality carrying more weight than climate.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/connecticut,https://warrantyindex.com/connecticut/
DE,delaware,Delaware,Humid coastal,0.97,-3,Moisture and salt air near the coast,"Humidity can accelerate surface corrosion, particularly in garages and coastal homes.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/delaware,https://warrantyindex.com/delaware/
FL,florida,Florida,Hot and very humid,0.91,-9,"Heat, moisture and long run times","Cooling appliances face long seasons of heavy work, while humid rooms are hard on electronics and metal.",https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/florida,https://warrantyindex.com/florida/
GA,georgia,Georgia,Hot and humid,0.94,-6,Summer heat and moisture,Long cooling seasons and humid utility rooms increase environmental stress.,https://appliance-lifespan-guide.masterblaster1.chatgpt.site/visualisation/georgia,https://warrantyindex.com/georgia/
